CarID     Direction     Arrival-Time      Cross-Time       Wait-Time
_________________________________________
1         N    19:59:00          19:59:00         0
2         E    19:59:00          19:59:01         1
6         E    19:59:02          19:59:02         0
8         E    19:59:03          19:59:03         0
11         E    19:59:04          19:59:04         0
3         S    19:59:00          19:59:05         5
5         S    19:59:01          19:59:06         5
7         S    19:59:02          19:59:07         5
10         S    19:59:04          19:59:08         4
13         E    19:59:05          19:59:09         4
14         E    19:59:06          19:59:10         4
15         E    19:59:07          19:59:11         4
16         E    19:59:08          19:59:12         4
19         E    19:59:09          19:59:13         4
21         E    19:59:11          19:59:14         3
22         E    19:59:12          19:59:15         3
12         S    19:59:05          19:59:16         11
17         S    19:59:09          19:59:17         8
20         S    19:59:10          19:59:18         8
4         W    19:59:00          19:59:19         19
9         W    19:59:03          19:59:20         17
23         S    19:59:13          19:59:21         8
18         W    19:59:09          19:59:22         13
24         W    19:59:13          19:59:23         10
29         W    19:59:19          19:59:24         5
32         W    19:59:20          19:59:25         5
26         S    19:59:16          19:59:26         10
27         S    19:59:17          19:59:27         10
30         S    19:59:19          19:59:28         9
35         W    19:59:22          19:59:29         7
25         E    19:59:13          19:59:30         17
37         W    19:59:23          19:59:31         8
31         S    19:59:20          19:59:32         12
33         S    19:59:21          19:59:33         12
28         E    19:59:18          19:59:34         16
39         E    19:59:23          19:59:35         12
41         W    19:59:24          19:59:36         12
43         E    19:59:27          19:59:37         10
45         E    19:59:29          19:59:38         9
38         S    19:59:23          19:59:39         16
46         S    19:59:30          19:59:40         10
42         W    19:59:25          19:59:41         16
47         E    19:59:30          19:59:42         12
34         N    19:59:22          19:59:43         21
36         N    19:59:23          19:59:44         21
40         N    19:59:24          19:59:45         21
51         E    19:59:34          19:59:46         12
53         E    19:59:36          19:59:47         11
49         S    19:59:32          19:59:48         16
55         E    19:59:40          19:59:49         9
44         W    19:59:29          19:59:50         21
50         S    19:59:33          19:59:51         18
48         W    19:59:31          19:59:52         21
57         E    19:59:42          19:59:53         11
52         W    19:59:36          19:59:54         18
58         E    19:59:43          19:59:55         12
54         S    19:59:39          19:59:56         17
56         W    19:59:41          19:59:57         16
67         W    19:59:51          19:59:58         7
59         S    19:59:44          19:59:59         15
